year, TAS, NET, LWcs, LWcre, SWcs, SWcre,
1850.00, 287.285, 3.66973, -261.920, 22.8355, 286.422, -43.6678,
1851.00, 287.588, 3.18988, -262.608, 22.6019, 286.502, -43.3061,
1852.00, 287.871, 2.71620, -263.143, 22.4297, 286.756, -43.3265,
1853.00, 287.921, 3.03539, -263.247, 22.4722, 286.954, -43.1434,
1854.00, 288.163, 3.25508, -263.641, 22.4345, 287.010, -42.5493,
1855.00, 288.525, 2.38770, -264.463, 22.1226, 287.380, -42.6523,
1856.00, 288.566, 2.41470, -264.585, 22.1186, 287.195, -42.3142,
1857.00, 288.711, 2.31592, -264.857, 22.2318, 287.576, -42.6349,
1858.00, 288.766, 2.31580, -264.798, 22.2125, 287.502, -42.6011,
1859.00, 288.869, 1.90090, -265.226, 22.1582, 287.368, -42.3990,
1860.00, 289.043, 2.18070, -265.491, 22.0539, 287.926, -42.3083,
1861.00, 289.005, 1.79909, -265.443, 21.9973, 287.660, -42.4152,
1862.00, 289.118, 2.31885, -265.408, 21.8908, 287.952, -42.1157,
1863.00, 289.182, 1.49431, -265.801, 21.8468, 288.049, -42.5998,
1864.00, 289.092, 2.35186, -265.544, 21.9583, 287.805, -41.8673,
1865.00, 289.185, 2.31102, -265.797, 22.1179, 287.976, -41.9861,
1866.00, 289.365, 2.06148, -266.024, 21.9405, 287.986, -41.8409,
1867.00, 289.207, 1.57586, -265.882, 21.7872, 287.910, -42.2395,
1868.00, 289.178, 1.69018, -265.937, 21.8946, 287.948, -42.2157,
1869.00, 289.072, 2.02937, -265.569, 22.0461, 287.797, -42.2441,
1870.00, 289.121, 2.15084, -265.591, 22.0123, 287.716, -41.9865,
1871.00, 289.342, 1.80045, -266.039, 21.9266, 287.902, -41.9892,
1872.00, 289.226, 1.91005, -265.861, 21.9704, 287.930, -42.1289,
1873.00, 289.208, 1.79922, -265.803, 21.9741, 287.791, -42.1628,
1874.00, 289.235, 1.49374, -265.920, 21.8239, 287.712, -42.1229,
1875.00, 289.260, 1.60433, -265.960, 21.9053, 287.791, -42.1321,
1876.00, 289.187, 1.91920, -265.824, 22.0020, 287.788, -42.0471,
1877.00, 289.242, 1.99077, -265.928, 21.9211, 287.913, -41.9147,
1878.00, 289.403, 1.74810, -266.280, 21.8581, 288.169, -41.9998,
1879.00, 289.277, 2.13042, -265.943, 22.0380, 288.086, -42.0505,
1880.00, 289.381, 1.96061, -266.104, 21.9061, 288.054, -41.8956,
1881.00, 289.580, 1.92201, -266.576, 21.8008, 288.235, -41.5375,
1882.00, 289.601, 1.44771, -266.647, 21.7666, 288.050, -41.7213,
1883.00, 289.407, 1.85891, -266.174, 21.9179, 288.128, -42.0128,
1884.00, 289.331, 2.14476, -265.946, 22.0235, 287.911, -41.8438,
1885.00, 289.676, 1.57960, -266.682, 21.7446, 288.217, -41.6999,
1886.00, 289.715, 1.13746, -266.859, 21.7290, 288.288, -42.0210,
1887.00, 289.576, 1.70662, -266.557, 21.8293, 288.247, -41.8128,
1888.00, 289.487, 1.83482, -266.360, 21.8994, 288.128, -41.8323,
1889.00, 289.629, 1.93223, -266.630, 21.8515, 288.190, -41.4791,
1890.00, 289.770, 1.53844, -267.001, 21.6416, 288.339, -41.4412,
1891.00, 289.719, 1.56191, -266.788, 21.8088, 288.060, -41.5191,
1892.00, 289.700, 1.31220, -266.890, 21.6926, 288.228, -41.7186,
1893.00, 289.673, 1.60858, -266.655, 21.7850, 288.086, -41.6076,
1894.00, 289.729, 1.53157, -266.837, 21.7371, 288.265, -41.6336,
1895.00, 289.778, 1.45963, -266.912, 21.7842, 288.319, -41.7323,
1896.00, 289.684, 1.82165, -266.666, 21.7601, 288.198, -41.4701,
1897.00, 289.780, 1.30567, -267.007, 21.6955, 288.335, -41.7177,
1898.00, 289.830, 1.77708, -266.889, 21.7362, 288.376, -41.4456,
1899.00, 289.893, 1.24986, -267.199, 21.6667, 288.466, -41.6832,
1900.00, 289.805, 1.41069, -267.034, 21.7340, 288.373, -41.6626,
1901.00, 289.774, 1.59910, -266.837, 21.7870, 288.280, -41.6315,
1902.00, 289.833, 1.06639, -267.247, 21.6833, 288.431, -41.8007,
1903.00, 289.828, 1.83244, -266.913, 21.9057, 288.538, -41.6978,
1904.00, 289.838, 1.42446, -267.107, 21.7073, 288.439, -41.6146,
1905.00, 289.722, 1.52843, -266.880, 21.6955, 288.325, -41.6122,
1906.00, 289.686, 1.79391, -266.763, 21.9153, 288.210, -41.5690,
1907.00, 289.801, 1.60752, -267.001, 21.8067, 288.335, -41.5337,
1908.00, 289.927, 1.23376, -267.264, 21.6469, 288.582, -41.7305,
1909.00, 289.831, 1.42438, -266.967, 21.7897, 288.339, -41.7380,
1910.00, 289.785, 1.48873, -266.926, 21.7462, 288.203, -41.5347,
1911.00, 289.859, 1.38337, -267.168, 21.7432, 288.380, -41.5716,
1912.00, 289.887, 1.88845, -267.069, 21.8091, 288.441, -41.2925,
1913.00, 290.007, 1.72342, -267.184, 21.8195, 288.502, -41.4147,
1914.00, 290.078, 1.04765, -267.591, 21.5512, 288.450, -41.3630,
1915.00, 289.911, 1.22086, -267.251, 21.6775, 288.305, -41.5103,
1916.00, 289.893, 1.29067, -267.100, 21.6855, 288.236, -41.5303,
1917.00, 289.863, 1.50208, -267.151, 21.7495, 288.394, -41.4902,
1918.00, 290.180, 1.69709, -267.582, 21.7791, 288.763, -41.2627,
1919.00, 290.006, 1.32521, -267.374, 21.6807, 288.545, -41.5265,
1920.00, 289.982, 1.50282, -267.269, 21.7486, 288.620, -41.5968,
1921.00, 290.034, 1.00675, -267.568, 21.5911, 288.487, -41.5033,
1922.00, 289.986, 1.40045, -267.342, 21.6340, 288.474, -41.3649,
1923.00, 290.037, 1.25401, -267.533, 21.6494, 288.436, -41.2984,
1924.00, 289.995, 1.58837, -267.203, 21.8119, 288.482, -41.5034,
1925.00, 289.986, 1.72310, -267.235, 21.8284, 288.577, -41.4472,
1926.00, 290.138, 1.27285, -267.499, 21.5944, 288.494, -41.3167,
1927.00, 290.207, 1.35548, -267.709, 21.5719, 288.552, -41.0597,
1928.00, 290.104, 0.977832, -267.612, 21.4512, 288.578, -41.4393,
1929.00, 289.942, 1.72700, -267.266, 21.7025, 288.483, -41.1918,
1930.00, 290.072, 1.16812, -267.561, 21.5500, 288.630, -41.4513,
1931.00, 289.983, 1.31569, -267.366, 21.6145, 288.318, -41.2505,
1932.00, 290.054, 1.43415, -267.344, 21.6757, 288.532, -41.4291,
1933.00, 290.183, 1.06836, -267.768, 21.4774, 288.622, -41.2637,
1934.00, 289.950, 1.48234, -267.125, 21.6825, 288.451, -41.5261,
1935.00, 290.141, 1.58305, -267.598, 21.5967, 288.743, -41.1594,
1936.00, 290.245, 1.32918, -267.806, 21.4858, 288.733, -41.0831,
1937.00, 290.085, 1.39437, -267.425, 21.6610, 288.730, -41.5711,
1938.00, 289.997, 1.85532, -267.221, 21.7857, 288.648, -41.3579,
1939.00, 290.279, 1.48819, -267.806, 21.6629, 288.630, -40.9986,
1940.00, 290.321, 1.18268, -267.942, 21.4587, 288.827, -41.1612,
1941.00, 290.118, 1.28418, -267.538, 21.5626, 288.574, -41.3137,
1942.00, 290.223, 1.60910, -267.640, 21.7702, 288.869, -41.3906,
1943.00, 290.275, 1.10552, -267.872, 21.5715, 288.626, -41.2196,
1944.00, 290.229, 1.33730, -267.659, 21.6315, 288.780, -41.4148,
1945.00, 290.228, 1.43335, -267.744, 21.5134, 288.730, -41.0662,
1946.00, 290.156, 1.18408, -267.770, 21.5462, 288.646, -41.2384,
1947.00, 290.115, 1.61936, -267.410, 21.7089, 288.701, -41.3811,
1948.00, 290.146, 1.54634, -267.580, 21.7563, 288.541, -41.1711,
1949.00, 290.258, 1.07096, -267.804, 21.6133, 288.695, -41.4330,
1950.00, 290.285, 0.839432, -267.964, 21.5021, 288.774, -41.4720,
1951.00, 290.089, 1.57274, -267.420, 21.5416, 288.725, -41.2736,
1952.00, 290.321, 1.26205, -267.916, 21.5905, 288.680, -41.0929,
1953.00, 290.264, 1.35203, -267.756, 21.4774, 288.745, -41.1136,
1954.00, 290.232, 1.48660, -267.660, 21.6138, 288.592, -41.0589,
1955.00, 290.334, 1.33556, -267.972, 21.4838, 288.877, -41.0524,
1956.00, 290.403, 0.985508, -268.166, 21.4111, 288.735, -40.9942,
1957.00, 290.396, 1.55195, -267.987, 21.6480, 288.912, -41.0218,
1958.00, 290.378, 1.02380, -268.102, 21.4299, 288.687, -40.9906,
1959.00, 290.414, 0.782602, -268.298, 21.2544, 288.754, -40.9277,
1960.00, 290.279, 1.40695, -267.845, 21.6097, 288.629, -40.9872,
1961.00, 290.345, 1.35016, -267.903, 21.6101, 288.587, -40.9446,
1962.00, 290.495, 1.13134, -268.255, 21.4354, 288.840, -40.8887,
1963.00, 290.372, 0.987655, -268.014, 21.4975, 288.701, -41.1968,
1964.00, 290.313, 1.16415, -267.931, 21.5541, 288.628, -41.0865,
1965.00, 290.363, 1.32295, -267.986, 21.5621, 288.672, -40.9243,
1966.00, 290.424, 1.02713, -268.160, 21.5376, 288.819, -41.1686,
1967.00, 290.322, 0.860424, -268.016, 21.4383, 288.677, -41.2388,
1968.00, 290.263, 1.05766, -267.942, 21.5038, 288.648, -41.1520,
1969.00, 290.344, 1.43502, -267.947, 21.5852, 288.662, -40.8649,
1970.00, 290.498, 1.14525, -268.293, 21.4289, 288.904, -40.8946,
1971.00, 290.330, 1.27299, -268.045, 21.5228, 288.902, -41.1068,
1972.00, 290.399, 1.44516, -268.039, 21.5956, 288.920, -41.0317,
1973.00, 290.440, 1.17190, -268.168, 21.5589, 288.823, -41.0414,
1974.00, 290.267, 1.35635, -267.837, 21.5977, 288.662, -41.0669,
1975.00, 290.378, 1.31361, -268.068, 21.4802, 288.815, -40.9135,
1976.00, 290.483, 1.01927, -268.352, 21.4963, 288.934, -41.0594,
1977.00, 290.405, 1.11608, -268.223, 21.3934, 288.726, -40.7806,
1978.00, 290.349, 1.71954, -267.830, 21.5983, 288.912, -40.9605,
1979.00, 290.449, 0.949452, -268.411, 21.4161, 288.979, -41.0349,
1980.00, 290.214, 1.32199, -267.756, 21.5138, 288.658, -41.0938,
1981.00, 290.355, 1.35880, -267.939, 21.6722, 288.708, -41.0831,
1982.00, 290.424, 1.08428, -268.206, 21.5501, 288.931, -41.1909,
1983.00, 290.289, 1.66658, -267.813, 21.5834, 288.813, -40.9159,
1984.00, 290.415, 1.14870, -268.245, 21.4834, 288.763, -40.8530,
1985.00, 290.424, 1.14676, -268.111, 21.4617, 288.813, -41.0166,
1986.00, 290.450, 0.963101, -268.313, 21.5163, 288.795, -41.0353,
1987.00, 290.191, 1.17570, -267.776, 21.5449, 288.405, -40.9975,
1988.00, 290.237, 1.25394, -267.847, 21.7294, 288.744, -41.3731,
1989.00, 290.307, 1.33994, -267.969, 21.5522, 288.817, -41.0601,
1990.00, 290.347, 1.17953, -268.034, 21.4322, 288.721, -40.9396,
1991.00, 290.372, 1.41522, -268.020, 21.5014, 288.795, -40.8613,
1992.00, 290.479, 1.41829, -268.190, 21.4865, 288.796, -40.6748,
1993.00, 290.375, 0.936310, -268.082, 21.4560, 288.722, -41.1601,
1994.00, 290.434, 1.51444, -268.090, 21.4419, 288.939, -40.7764,
1995.00, 290.486, 1.12938, -268.297, 21.4222, 288.794, -40.7893,
1996.00, 290.430, 1.21388, -268.165, 21.4293, 288.956, -41.0063,
1997.00, 290.440, 0.918158, -268.227, 21.4860, 288.760, -41.1008,
1998.00, 290.411, 1.39532, -268.124, 21.4743, 288.879, -40.8333,
1999.00, 290.622, 1.08109, -268.478, 21.5630, 288.931, -40.9345,
